p,80,keydown,1741552265264
p,80,keyup,1741552265350
Meta,91,keydown,1741552266494
Meta,91,keyup,1741552266583
h,72,keydown,1741552300057
h,72,keyup,1741552300115
e,69,keydown,1741552301061
e,69,keyup,1741552301143
l,76,keydown,1741552301921
l,76,keyup,1741552302008
l,76,keydown,1741552302694
l,76,keyup,1741552302786
o,79,keydown,1741552303659
o,79,keyup,1741552303726
f,70,keydown,1741552374891
f,70,keyup,1741552374981
u,85,keydown,1741552375899
u,85,keyup,1741552375965
c,67,keydown,1741552377027
c,67,keyup,1741552377105
k,75,keydown,1741552377985
k,75,keyup,1741552378095
1,49,keydown,1741552414816
q,113,keydown,1741552414851
1,49,keyup,1741552414926
q,113,keyup,1741552414932
2,50,keydown,1741552415770
q,113,keydown,1741552415782
q,113,keyup,1741552415846
2,50,keyup,1741552415857
3,51,keydown,1741552416950
q,113,keydown,1741552416976
q,113,keyup,1741552417031
3,51,keyup,1741552417054
4,52,keydown,1741552418147
q,113,keydown,1741552418171
4,52,keyup,1741552418234
q,113,keyup,1741552418251
5,53,keydown,1741552419119
q,113,keydown,1741552419134
5,53,keyup,1741552419203
q,113,keyup,1741552419204
6,54,keydown,1741552420208
q,113,keydown,1741552420220
6,54,keyup,1741552420278
q,113,keyup,1741552420307
