HL,IL,PL,RL,Keycode
0.08899998664855957,1.1440000534057617,1.2300000190734863,1.2330000400543213,0.3568627450980392
0.05800008773803711,33.473999977111816,33.562999963760376,33.53200006484985,0.2823529411764706
0.0819997787475586,0.9460000991821289,1.004000186920166,1.0279998779296875,0.27058823529411763
0.08699989318847656,0.7780001163482666,0.8599998950958252,0.8650000095367432,0.2980392156862745
0.09200000762939453,0.6860001087188721,0.7730000019073486,0.7780001163482666,0.2980392156862745
0.06700015068054199,0.872999906539917,0.9649999141693115,0.940000057220459,0.30980392156862746
0.08999991416931152,71.16499996185303,71.23200011253357,71.25499987602234,0.27450980392156865
0.06599998474121094,0.9179999828338623,1.0079998970031738,0.9839999675750732,0.3333333333333333
0.07800006866455078,1.062000036239624,1.128000020980835,1.1400001049041748,0.2627450980392157
0.1100001335144043,0.8799998760223389,0.9579999446868896,0.9900000095367432,0.29411764705882354
0.1100001335144043,36.72099995613098,36.831000089645386,36.831000089645386,0.19215686274509805
0.08099985122680664,-0.07500004768371582,0.03500008583068848,0.00599980354309082,0.44313725490196076
0.07599997520446777,0.8380000591278076,0.9189999103546143,0.9140000343322754,0.19607843137254902
0.07500004768371582,-0.06399989128112793,0.012000083923339844,0.01100015640258789,0.44313725490196076
0.08099985122680664,1.0929999351501465,1.1679999828338623,1.1739997863769531,0.2
0.07799983024597168,-0.05499982833862305,0.026000022888183594,0.023000001907348633,0.44313725490196076
0.08699989318847656,1.0930001735687256,1.1710000038146973,1.1800000667572021,0.20392156862745098
0.07999992370605469,-0.06299996376037598,0.023999929428100586,0.01699995994567871,0.44313725490196076
0.0840001106262207,0.8680000305175781,0.9479999542236328,0.9520001411437988,0.20784313725490197
0.06999993324279785,-0.0690000057220459,0.015000104904174805,0.0009999275207519531,0.44313725490196076
0.07000017166137695,1.003999948501587,1.0739998817443848,1.0740001201629639,0.21176470588235294
0.08699989318847656,-0.05800008773803711,0.012000083923339844,0.028999805450439453,0.44313725490196076
